	index	modules	labels
1	9	CER	CER6_p
2	108	CER	CER7ab
3	121	CER	R_CERCR2_p
4	14	CER	CER9_v
5	97	CER	CER6_a
6	54	CER	L_CERCR2_a
7	11	CER	CER9_d
8	65	CER	CER9_m
9	18	CER	CER7b_m
10	90	CER	L_CERCR2_p
11	46	CER	CER7b_l
12	41	CER	N
13	84	CER	CERCR1
14	44	CER	CER6_d
15	48	CER	CER5
16	62	CER	R_CERCR2_a
17	96	DMnet	POsul_d
18	72	DMnet	POsul_v
19	35	DMnet	VMPFcor_p
20	32	DMnet	R_MTgyr_a
21	33	DMnet	L_ANGgyr
22	82	DMnet	L_MTgyr_p
23	89	DMnet	L_MTgyr_a
24	87	DMnet	DMPFC_ar
25	53	DMnet	L_SFsul_a
26	55	DMnet	DMPFcor_ac
27	24	DMnet	PCcor
28	103	DMnet	POsul
29	4	DMnet	L_IPlob
30	115	DMnet	PGACcor
31	66	DMnet	VMPFcor_a
32	64	DMnet	PRC_d
33	63	DMnet	SFgyr_ad
34	114	DMnet	L_IPlob
35	15	DMnet	R_ANGgyr
36	17	DMnet	PRC_v
37	106	DMnet	R_MTgyr_p
38	47	DMnet	PRC_d
39	58	FPnet_VISDN	R_MFgyr_a
40	50	FPnet_VISDN	L_DVIS_v
41	76	FPnet_VISDN	SPlob
42	77	FPnet_VISDN	R_VLPFcor
43	49	FPnet_VISDN	FUSgyr_vl
44	59	FPnet_VISDN	R_IFsul
45	75	FPnet_VISDN	FP
46	69	FPnet_VISDN	R_DVIS_v
47	80	FPnet_VISDN	L_FP_l
48	1	FPnet_VISDN	SPlob
49	22	FPnet_VISDN	L_MFgyr_pc
50	120	FPnet_VISDN	L_VLPFcor
51	117	FPnet_VISDN	OCCTgyr_l
52	6	FPnet_VISDN	ACcor_d
53	7	FPnet_VISDN	L_MFgyr_pr
54	111	FPnet_VISDN	R_MFgyr_p
55	20	FPnet_VISDN	R_IPsul
56	105	FPnet_VISDN	L_IFsul
57	83	FPnet_VISDN	DVIS_s
58	104	FPnet_VISDN	FUSgyr_dl
59	91	FPnet_VISDN	R_SFsul
60	98	FPnet_VISDN	R_IPlob
61	94	FPnet_VISDN	R_FP_l
62	92	FPnet_VISDN	R_PORB
63	34	FPnet_VISDN	DMPFcor_p
64	74	FPnet_VISDN	L_IPsul
65	38	FPnet_VISDN	L_MFgyr_a
66	100	FPnet_VISDN	DVIS_vl
67	78	LIMnet	CAUDNH_NACC
68	79	LIMnet	COLsul
69	109	LIMnet	LORBgyr
70	112	LIMnet	ITgyr
71	86	LIMnet	STgyr_a
72	61	LIMnet	MORBgyr
73	21	LIMnet	PINS_v
74	70	LIMnet	TP
75	42	LIMnet	HIPP
76	71	LIMnet	AMY
77	30	LIMnet	PIsul
78	3	LIMnet	CERVM
79	8	MOTnet	L_MOTnet_dl
80	5	MOTnet	MOTnet_am
81	73	MOTnet	R_MOTnet_dl
82	67	MOTnet	MOTnet_m
83	68	MOTnet	MOTnet_ml
84	110	MOTnet	MOTnet_vl
85	93	MOTnet	MOTnet_l
86	102	VATTnet_SALnet_BG_THAL	l_PCsul
87	26	VATTnet_SALnet_BG_THAL	CNGsul_p
88	25	VATTnet_SALnet_BG_THAL	PUT_p
89	23	VATTnet_SALnet_BG_THAL	AINS_pd
90	10	VATTnet_SALnet_BG_THAL	CAUDN_d
91	12	VATTnet_SALnet_BG_THAL	AINS_v
92	113	VATTnet_SALnet_BG_THAL	FEF
93	116	VATTnet_SALnet_BG_THAL	PCsul_d
94	118	VATTnet_SALnet_BG_THAL	IMsul
95	119	VATTnet_SALnet_BG_THAL	STgyr_p
96	2	VATTnet_SALnet_BG_THAL	CAUDN_v
97	13	VATTnet_SALnet_BG_THAL	PUT_a
98	99	VATTnet_SALnet_BG_THAL	HSgyr
99	28	VATTnet_SALnet_BG_THAL	PSMcor_p
100	122	VATTnet_SALnet_BG_THAL	PSMcor_a
101	95	VATTnet_SALnet_BG_THAL	SMgyr
102	31	VATTnet_SALnet_BG_THAL	THAL_d
103	36	VATTnet_SALnet_BG_THAL	THAL_v
104	37	VATTnet_SALnet_BG_THAL	R_PCsul
105	52	VATTnet_SALnet_BG_THAL	PINS_d
106	88	VATTnet_SALnet_BG_THAL	STgyr_m
107	27	VATTnet_SALnet_BG_THAL	PCcor
108	85	VATTnet_SALnet_BG_THAL	AINS_ad
109	45	VATTnet_SALnet_BG_THAL	CAUDN
110	60	VISnet	PVISnet_l
111	57	VISnet	MDVISnet_p
112	56	VISnet	MDVISnet_a
113	81	VISnet	LVISnet_vp
114	51	VISnet	MVISnet_p
115	29	VISnet	MVISnet_av
116	39	VISnet	LVISnet_p
117	16	VISnet	PVISnet_dm
118	107	VISnet	PVISnet_vm
119	19	VISnet	MVISnet_ad
120	101	VISnet	VVISnet_l
121	43	VISnet	LVISnet_DP
122	40	VISnet	VVISnet_m
